name,type,region,locality,geolocation
Alekseevskaya women's gymnasium,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
Anapa lighthouse,architecture,Krasnodar region,Anapa,"(Decimal('37.304366'), Decimal('44.953155'))"
The ensemble Alexander Garden,architecture,Kirov region,Kirov,"(Decimal('51.802725'), Decimal('58.284554'))"
Verkhotursk Kremlin ensemble,architecture,Sverdlovsk region,Verkhotur'e,"(Decimal('60.807581'), Decimal('58.860518'))"
The ensemble of the Church of Transfiguration,architecture,Kostroma region,Nicolo-Shanga,"(Decimal('45.5395'), Decimal('58.452015'))"
The ensemble of the government offices in Kaluga,architecture,Kaluga region,Kaluga,"(Decimal('36.167539'), Decimal('54.53284'))"
Ensemble Rogozhskaya Yamskaya Sloboda,architecture,Moscow,,"(Decimal('37.681173'), Decimal('55.746512'))"
Ensemble Trading Rows,architecture,Kostroma region,Soligalich,"(Decimal('42.285973'), Decimal('59.077591'))"
Ensemble Railway Hospital,architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
Ensemble factory settlement Kynovskogo plant,architecture,Perm,Kyn,Not found
Ensemble merchant houses on the waterfront,architecture,Ivanovo region,Dance,Not found
The ensemble of the first girls' school,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.592336'), Decimal('56.886105'))"
Ensemble Lenin area (Round Square),architecture,The Republic of Karelia,Petrozavodsk,"(Decimal('34.362293'), Decimal('61.789836'))"
"Ensemble sports complex stadium ""Dynamo""",architecture,Volgograd region,Volgograd,"(Decimal('44.506204'), Decimal('48.711895'))"
The ensemble of the Church of Constantine and Helen,architecture,Pskov region,Pskov,Not found
"Pharmacy ""the arrow""",architecture,Kaluga region,Kaluga,"(Decimal('36.261215'), Decimal('54.513845'))"
Drugstore berms,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
pharmacy Veyersberga,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
pharmacy Kruger,architecture,Altai region,Barnaul,"(Decimal('83.776856'), Decimal('53.346785'))"
Pharmacy mining department,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.449899'), Decimal('56.796382'))"
Arakcheyev Cadet Corps,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Arch of the 140th anniversary of the city - a resort Hot Key,architecture,Krasnodar region,Hot key,"(Decimal('39.136426'), Decimal('44.634246'))"
"Arch ""Golden Gate"" ( ""Altn Bosch"")",architecture,Republic of Kalmykia,Elista,"(Decimal('44.269759'), Decimal('46.307743'))"
Arch in honor of the 50th anniversary of the resort Hot Key,architecture,Krasnodar region,Hot key,"(Decimal('39.136426'), Decimal('44.634246'))"
triumphal Arch,architecture,Kabardino-Balkar Republic,,"(Decimal('43.408274'), Decimal('43.494396'))"
Arsenal. Izhevsk Kremlin,architecture,Udmurt republic,Izhevsk,"(Decimal('53.180418'), Decimal('56.822306'))"
Arsenal'na (Voljskaya) tower,architecture,Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.893804'), Decimal('57.626559'))"
Arkhangelsk settlement,architecture,Mari El Republic,Yoshkar-Ola,"(Decimal('47.902995'), Decimal('56.632818'))"
"Archaeological complex ""Gnezdovo""",architecture,Smolensk region,,"(Decimal('31.863863'), Decimal('54.782464'))"
Bishops house,architecture,Perm,Permian,"(Decimal('56.253967'), Decimal('58.006473'))"
Bishops house,architecture,Penza region,Penza,"(Decimal('45.004715'), Decimal('53.173479'))"
Bishops House on the Pechora Compound,architecture,Pskov region,Pskov,Not found
The architectural ensemble of the Cathedral Hill,architecture,Smolensk region,Smolensk,Not found
The city's skyline Kyshtym,architecture,Chelyabinsk region,Argayash,Not found
The architectural ensemble of the square named after Lenin,architecture,Rostov region,Volgodonsk,"(Decimal('42.156436'), Decimal('47.515772'))"
The architectural ensemble of the village Velikoretskoye,architecture,Kirov region,Velikoretskoye,"(Decimal('49.16272'), Decimal('58.955449'))"
The architectural ensemble of the central square,architecture,Kurgan region,Mound,Not found
The architectural complex Lezgor,architecture,Republic of North Ossetia - Alania,Lezgor,"(Decimal('43.770268'), Decimal('43.015099'))"
The architectural complex of the Soviet area,architecture,Republic of Bashkortostan,Ufa,"(Decimal('55.958727'), Decimal('54.735147'))"
The architectural complex of the Suzdal Kremlin,architecture,Vladimir region,Suzdal,"(Decimal('40.449457'), Decimal('56.419836'))"
The architectural complex Aphids,architecture,Republic of North Ossetia - Alania,,"(Decimal('43.892359'), Decimal('42.666152'))"
The architectural complex of the village Galiat,architecture,Republic of North Ossetia - Alania,Galiat,"(Decimal('43.847811'), Decimal('42.920194'))"
The architectural complex of shops,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
The architectural complex of shops in Kirov,architecture,Kirov region,Kirov,"(Decimal('49.689313'), Decimal('58.521682'))"
Astrakhan State Conservatory,architecture,Astrakhan region,Astrakhan,"(Decimal('47.969722'), Decimal('46.436952'))"
Astrakhan Kremlin,architecture,Astrakhan region,Astrakhan,"(Decimal('47.948719'), Decimal('46.286977'))"
Bazanov orphanage,architecture,Irkutsk region,Irkutsk,"(Decimal('113.795679'), Decimal('57.820324'))"
Baidar gates,architecture,Sevastopol,Orlinoe,"(Decimal('33.77307'), Decimal('44.444772'))"
bacteriological Institute,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
Balga,architecture,Kaliningrad region,,"(Decimal('19.975954'), Decimal('54.545219'))"
Bank of Volga-Kama,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
Bank for Foreign Trade,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
Manor House Lyakhov,architecture,Republic of Bashkortostan,Spartak,"(Decimal('54.349764'), Decimal('54.18571'))"
Tower complexes Vovnushki,architecture,The Republic of Ingushetia,,"(Decimal('44.994852'), Decimal('42.800697'))"
Tower apartment complex Huli,architecture,The Republic of Ingushetia,,"(Decimal('44.804086'), Decimal('42.811544'))"
Tower complex Bein,architecture,The Republic of Ingushetia,Bain,"(Decimal('44.714281'), Decimal('42.831627'))"
Tower complex Bâlgan,architecture,The Republic of Ingushetia,,"(Decimal('44.789731'), Decimal('42.798586'))"
Tower complex Gadaborš,architecture,The Republic of Ingushetia,,"(Decimal('44.900017'), Decimal('42.821597'))"
Tower complex Maps,architecture,The Republic of Ingushetia,,"(Decimal('44.880371'), Decimal('42.827264'))"
Tower complex Lyazhgi,architecture,The Republic of Ingushetia,Lyazhgi,"(Decimal('44.734484'), Decimal('42.808773'))"
Tower complex Motsar,architecture,Chechen Republic,,"(Decimal('45.370285'), Decimal('42.890173'))"
Tower complex Nij,architecture,The Republic of Ingushetia,Pyaling,"(Decimal('44.98798'), Decimal('42.825227'))"
Tower complex Ozdik,architecture,The Republic of Ingushetia,Lamey,"(Decimal('44.900807'), Decimal('42.830173'))"
Tower complex SALGA,architecture,The Republic of Ingushetia,,"(Decimal('44.819986'), Decimal('42.797918'))"
Tower complex Targ,architecture,The Republic of Ingushetia,Targim,"(Decimal('44.942354'), Decimal('42.835125'))"
Tower complex Tori,architecture,The Republic of Ingushetia,,"(Decimal('44.920534'), Decimal('42.843085'))"
Tower complex Cori,architecture,The Republic of Ingushetia,,"(Decimal('45.094394'), Decimal('42.806319'))"
Tower complex Soan,architecture,The Republic of Ingushetia,Shoani,Not found
Tower complex Erzi,architecture,The Republic of Ingushetia,,"(Decimal('44.759574'), Decimal('42.80362'))"
Tower complex in the village of Egikal,architecture,The Republic of Ingushetia,Egikkhal,Not found
towers Tuaeva,architecture,Republic of North Ossetia - Alania,medicine,"(Decimal('43.910711'), Decimal('42.671548'))"
Towers kind Gagieva,architecture,The Republic of Ingushetia,Alkun,"(Decimal('45.012818'), Decimal('42.979241'))"
tower Abisalova,architecture,Republic of North Ossetia - Alania,Dunta,"(Decimal('43.849886'), Decimal('42.900978'))"
tower Bzykovyh,architecture,Republic of North Ossetia - Alania,Donisar,"(Decimal('44.19872'), Decimal('42.862933'))"
tower Bubleyka,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Thunder tower,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
tower Dolgochevskaya,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
tower Eloeva,architecture,Republic of North Ossetia - Alania,,"(Decimal('44.262033'), Decimal('43.092669'))"
tower Kantemirovs,architecture,Republic of North Ossetia - Alania,Quss,"(Decimal('43.633689'), Decimal('42.904042'))"
"Tower Kokui and ""Time Gallery""",architecture,Novgorod region,Novgorod,Not found
Kurt and Taga Tower,architecture,Republic of North Ossetia - Alania,upper Fiagdon,"(Decimal('44.306958'), Decimal('42.83418'))"
tower Mamsurova,architecture,Republic of North Ossetia - Alania,,"(Decimal('44.262033'), Decimal('43.092669'))"
Tower Moss (Makhovaia),architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Eagle tower,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
tower Pozdnyakov,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Town Hall tower,architecture,Leningrad region,Vyborg,"(Decimal('28.730117'), Decimal('60.714211'))"
Concorde tower,architecture,The Republic of Ingushetia,Magas,"(Decimal('44.81624'), Decimal('43.171501'))"
tower Taymazov,architecture,Republic of North Ossetia - Alania,Quss,"(Decimal('43.633689'), Decimal('42.904042'))"
tower Hatagovyh,architecture,Republic of North Ossetia - Alania,Donifars,"(Decimal('43.7646'), Decimal('42.999975'))"
tower Hestanovyh,architecture,Republic of North Ossetia - Alania,Donisar,"(Decimal('44.19872'), Decimal('42.862933'))"
Shamil tower,architecture,Kursk region,Lgov,"(Decimal('35.259432'), Decimal('51.656942'))"
tower of the winds,architecture,Sevastopol,,"(Decimal('33.525369'), Decimal('44.616604'))"
tower lovers,architecture,Kabardino-Balkar Republic,Nalchik,"(Decimal('43.607072'), Decimal('43.485259'))"
tower krovniki,architecture,Republic of North Ossetia - Alania,,"(Decimal('44.262033'), Decimal('43.092669'))"
Tower krovniki over Kahtisarom,architecture,Republic of North Ossetia - Alania,Koban,Not found
The clock tower at the State Bank,architecture,Nizhny Novgorod Region,Nizhny Novgorod,Not found
White Tower,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('61.372065'), Decimal('57.389991'))"
White tower of Nizhny Novgorod Kremlin,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.448685'), Decimal('55.830038'))"
The Kremlin Bilozerske,architecture,Vologda Region,Shi's,"(Decimal('37.789016'), Decimal('60.030843'))"
Belozersky Kremlin and the city wall,architecture,Vologda Region,Shi's,"(Decimal('37.789016'), Decimal('60.030843'))"
Belorussky Train Station,architecture,Moscow,,"(Decimal('37.581496'), Decimal('55.776618'))"
The White house,architecture,Irkutsk region,Irkutsk,"(Decimal('104.357736'), Decimal('52.249324'))"
birch house,architecture,Leningrad region,,"(Decimal('28.617441'), Decimal('60.300988'))"
AN gazebo Ostrovsky,architecture,Kostroma region,Kostroma,"(Decimal('40.913797'), Decimal('57.771907'))"
arbor Shamil,architecture,The Republic of Dagestan,Guniʙ,"(Decimal('46.964318'), Decimal('42.387091'))"
Arbor on the Volga embankment,architecture,Yaroslavskaya oblast,Yaroslavl,Not found
Academy of Sciences Library,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Biryuchanskie shopping arcade,architecture,Belgorod region,lone wolf,"(Decimal('38.400553'), Decimal('50.648389'))"
Annunciation tower,architecture,Mari El Republic,Yoshkar-Ola,"(Decimal('47.886178'), Decimal('56.631595'))"
Grace Church of Evangelical Christians-Baptists,architecture,Krasnoyarsk region,Krasnoyarsk,Not found
Nobility,architecture,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Blinovskii passage,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Blockade substation,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Epiphany (winter) Cathedral,architecture,Yaroslavskaya oblast,Uglich,"(Decimal('38.319372'), Decimal('57.526592'))"
Battle Tower Beck Cheldieva,architecture,Republic of North Ossetia - Alania,Zgil,Not found
Battle Tower Botsiev,architecture,Republic of North Ossetia - Alania,medicine,"(Decimal('43.910711'), Decimal('42.671548'))"
Battle Tower Gabisova in Halgone,architecture,Republic of North Ossetia - Alania,,Not found
Battle Tower in the village Zubanchi,architecture,The Republic of Dagestan,,Not found
Large living room series,architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('107.584574'), Decimal('51.834464'))"
Large living room series,architecture,The Republic of Buryatia,,"(Decimal('110.71311'), Decimal('54.934805'))"
Large flour series,architecture,Kostroma region,Kostroma,"(Decimal('40.924792'), Decimal('57.767568'))"
Big Gostiny Dvor,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.329514'), Decimal('59.929245'))"
Big house on Foundry,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Boris and Gleb Tower of Nizhny Novgorod Kremlin,architecture,Nizhny Novgorod Region,Nizhny Novgorod,Not found
Botnia house,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.278606'), Decimal('59.958525'))"
Brandenburg,architecture,Kaliningrad region,Ushakovo,"(Decimal('20.235639'), Decimal('54.608973'))"
Former Perm Theological Seminary,architecture,Perm,Permian,"(Decimal('56.234914'), Decimal('58.009129'))"
The former gymnasium,architecture,Bryansk region,Starodub,"(Decimal('32.760346'), Decimal('52.585277'))"
Former religious school,architecture,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
The former building of the Mutual Credit Bank,architecture,Transbaikal region,Сретенск,Not found
The former building of the theater 501st construction,architecture,Yamalo-Nenets Autonomous Okrug,Salekhard,Not found
Former farmstead Yugskoy Dorofeeva desert,architecture,Yaroslavskaya oblast,Rybinsk,Not found
Former bath Kashinskaya,architecture,Perm,Permian,"(Decimal('56.553313'), Decimal('61.23108'))"
The former house of the Noble Assembly,architecture,Smolensk region,Smolensk,"(Decimal('34.207091'), Decimal('55.489667'))"
The former house of the Noble Assembly in Smolensk,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Engelhardt's former home in Smolensk,architecture,Smolensk region,Smolensk,Not found
The former house of the governor of Smolensk,architecture,Smolensk region,Smolensk,"(Decimal('32.082333'), Decimal('54.770842'))"
The former house of the merchant Lanina,architecture,Smolensk region,Smolensk,"(Decimal('34.207091'), Decimal('55.489667'))"
A former trading house of Faberge,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.332424'), Decimal('59.928807'))"
Bathing building of Nicholas II (Upper Bath),architecture,Stavropol region,Essentuki,Not found
bath Ostrovsky,architecture,Stavropol region,Zheleznovodsk,"(Decimal('43.136875'), Decimal('44.084718'))"
Vvedenskyy castle,architecture,Republic of Crimea,Izobilnoye,"(Decimal('34.352142'), Decimal('44.706694'))"
widows Home,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
Verhnebazarny trade body,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Windmill,architecture,Belgorod region,Menyaylovo,"(Decimal('38.752899'), Decimal('50.528627'))"
Windmill,architecture,Belgorod region,Demidovka,"(Decimal('35.392104'), Decimal('50.947035'))"
wine warehouse,architecture,Perm,Solikamsk,"(Decimal('56.572573'), Decimal('59.755304'))"
Vitebsk Station,architecture,St. Petersburg,,"(Decimal('30.329181'), Decimal('59.919901'))"
Vladimir square,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.34748'), Decimal('59.928257'))"
Vlasievskaya tower,architecture,Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
Water tower,architecture,Komi Republic,Inta,"(Decimal('60.115367'), Decimal('66.03682'))"
Water tower,architecture,Krasnoyarsk region,Khanabadskiy,"(Decimal('94.328297'), Decimal('55.813172'))"
Water tower,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.901278'), Decimal('54.983763'))"
Water tower,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
Water tower,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
Water tower in Staraya Russa,architecture,Novgorod region,Staraya Russa,"(Decimal('31.355452'), Decimal('57.990715'))"
Water tower in Vladimir,architecture,Vladimir region,,Not found
Water tower with a chimney,architecture,Novosibirsk region,curse,Not found
Water towers,architecture,Kurgan region,Mound,"(Decimal('65.341118'), Decimal('55.441004'))"
Water Mill,architecture,Kursk region,Krasnikov,"(Decimal('36.402637'), Decimal('51.235774'))"
Watermill in the village of Loch,architecture,Saratov region,goof,Not found
Military sanatorium in Gurzuf,architecture,Republic of Crimea,,"(Decimal('36.390456'), Decimal('45.225904'))"
Station Orenburg,architecture,Orenburg region,Orenburg,"(Decimal('55.074327'), Decimal('51.776581'))"
Volga-Don channel,architecture,Volgograd region,,"(Decimal('43.52943'), Decimal('48.62269'))"
Volgograd Conservatory. PA Serebryakov,architecture,Volgograd region,Volgograd,"(Decimal('44.335848'), Decimal('48.683577'))"
Volgograd State Medical University,architecture,Volgograd region,Volgograd,"(Decimal('44.543296'), Decimal('48.734296'))"
Volgograd State Pedagogical University (main building),architecture,Volgograd region,Volgograd,"(Decimal('44.543296'), Decimal('48.734296'))"
Volgograd State Technical University,architecture,Volgograd region,Volgograd,"(Decimal('44.543296'), Decimal('48.734296'))"
Volgogradsky Technical College (hydromeliorative College),architecture,Volgograd region,Volgograd,"(Decimal('44.543296'), Decimal('48.734296'))"
Volgograd Regional Statistics Office (1st Mariinsky female grammar school),architecture,Volgograd region,Volgograd,Not found
Volzhskaya HPP,architecture,Volgograd region,Volzhsky,"(Decimal('44.780487'), Decimal('48.771558'))"
Gateway to the Valley of the Kings,architecture,The Republic of Khakassia,the reeds,Not found
Gate tower of the Gostiny Dvor,architecture,Novgorod region,Novgorod,Not found
foundling-hospital,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.278606'), Decimal('59.958525'))"
The second male gymnasium,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
The second fire station in Blagoveshchensk,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
Red Gate Building,architecture,Moscow,,Not found
"Exhibition Complex ""Sestroretsky abroad""",architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Vyatskaya women's gymnasium,architecture,Kirov region,Kirov,"(Decimal('49.747317'), Decimal('58.608011'))"
Vyatka State Pedagogical University,architecture,Kirov region,Kirov,"(Decimal('49.745916'), Decimal('58.641864'))"
Vyatskoe zemskoe Realschule,architecture,Kirov region,Kirov,"(Decimal('48.734871'), Decimal('58.057617'))"
Gum,architecture,Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
Galernaya Harbor,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.223961'), Decimal('59.93571'))"
Gauptvahta,architecture,Kostroma region,Kostroma,"(Decimal('40.926858'), Decimal('57.767961'))"
St. George Tower of Nizhny Novgorod Kremlin,architecture,Nizhny Novgorod Region,Nizhny Novgorod,Not found
St. George's Cathedral in Gus-Crystal,architecture,Vladimir region,,"(Decimal('41.705563'), Decimal('55.660287'))"
Gerdauen,architecture,Kaliningrad region,Railway,"(Decimal('21.305308'), Decimal('54.360931'))"
Gymnasium named AL Kekin,architecture,Yaroslavskaya oblast,Rostov,"(Decimal('39.414526'), Decimal('57.185866'))"
Gymnasium №2 them. VG Korolenko,architecture,Republic of Crimea,Kerch,"(Decimal('36.467378'), Decimal('45.356219'))"
School №32,architecture,Ivanovo region,Ivanovo,"(Decimal('40.973921'), Decimal('57.000348'))"
The main building of the Mariinsky Hospital,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.320818'), Decimal('59.922165'))"
The main gate of the park Mon Repos,architecture,Leningrad region,Vyborg,"(Decimal('28.72576'), Decimal('60.732374'))"
Main House merchant Dementieva,architecture,Krasnoyarsk region,Pitorafik,Not found
Main house Estate MI Sizova,architecture,Nizhny Novgorod Region,Nizhny Novgorod,Not found
The main building of the Izhevsk arms factory,architecture,Udmurt republic,Izhevsk,Not found
post office,architecture,Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
post office,architecture,St. Petersburg,,"(Decimal('30.315868'), Decimal('59.939095'))"
post office,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
post office,architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
Glebov house,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.278606'), Decimal('59.958525'))"
Dutch house of Peter I,architecture,Moscow,,"(Decimal('37.804979'), Decimal('55.736371'))"
The mountain Institute,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.318545'), Decimal('59.916342'))"
Chess City in Elista,architecture,Republic of Kalmykia,Elista,"(Decimal('44.261638'), Decimal('46.307319'))"
The policeman magistrate,architecture,Perm,Kungur,"(Decimal('56.944206'), Decimal('57.42881'))"
City fire station,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
City Public Library,architecture,Yaroslavskaya oblast,Uglich,"(Decimal('38.319372'), Decimal('57.526592'))"
City telephone station,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
City Government,architecture,Perm,Kungur,"(Decimal('56.944206'), Decimal('57.42881'))"
city ​​power,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
City Nikolaev School,architecture,Tyumen region,Tyumen,"(Decimal('69.420835'), Decimal('56.107122'))"
City Women's College,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.923619'), Decimal('55.012532'))"
Urban apartment building,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
"Гостиница &quot;Арктика&quot;, самое высокое в мире здание за Полярным кругом",architecture,Murmansk region,Murmansk,Not found
"Hotel ""Bristol""",architecture,Voronezh region,Voronezh,"(Decimal('39.200269'), Decimal('51.660781'))"
"The hotel ""Versailles""",architecture,Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
"Hotel ""Volgograd""",architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
"Hotel ""Imperial""",architecture,Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.68196'), Decimal('43.02115'))"
"Hotel ""Leningrad""",architecture,Moscow,,"(Decimal('37.44497'), Decimal('55.881485'))"
"Hotel ""Metropol""",architecture,Moscow,,"(Decimal('37.56609'), Decimal('55.752825'))"
"Hotel ""National""",architecture,Moscow,,"(Decimal('37.56609'), Decimal('55.752825'))"
"Hotel ""Ukraine""",architecture,Moscow,,Not found
"Hotel ""Central""",architecture,Kirov region,Kirov,"(Decimal('49.578524'), Decimal('58.637574'))"
Hotel AE Lukyanov,architecture,Amur region,Blagoveshchensk,"(Decimal('128.923622'), Decimal('51.639551'))"
Hotel Central,architecture,Ivanovo region,Ivanovo,"(Decimal('40.902442'), Decimal('57.004211'))"
Hotel merchant VY Atamanova,architecture,Sverdlovsk region,Ekaterinburg,Not found
Hotel Nikitin merchants,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Living series,architecture,The Republic of Buryatia,Kyakhtinsky,"(Decimal('106.449903'), Decimal('50.355214'))"
Gostiny Dvor,architecture,Perm,Kungur,"(Decimal('56.944206'), Decimal('57.42881'))"
Gostiny Dvor,architecture,Arhangelsk region,Arkhangelsk,"(Decimal('46.504372'), Decimal('61.61071'))"
Gostiny Dvor,architecture,Tyumen region,Tyumen,"(Decimal('65.554513'), Decimal('57.229939'))"
Gostiny Dvor,architecture,Tyumen region,Tobolsk,"(Decimal('68.253762'), Decimal('58.201698'))"
Gostiny Dvor (red series),architecture,Kostroma region,Kostroma,"(Decimal('46.655361'), Decimal('59.192647'))"
Gostiny Dvor in Kaluga,architecture,Kaluga region,Kaluga,"(Decimal('36.255268'), Decimal('54.568625'))"
Urban complexes on the street Volgodonsk,architecture,Volgograd region,Volgograd,"(Decimal('43.721652'), Decimal('48.635284'))"
Count's quay,architecture,Sevastopol,,"(Decimal('33.526941'), Decimal('44.616969'))"
Gremyachaya tower,architecture,Pskov region,Pskov,"(Decimal('28.349043'), Decimal('57.823386'))"
Gross Vonsdorf,architecture,Kaliningrad region,spa,"(Decimal('21.126902'), Decimal('54.465387'))"
The Governor's House,architecture,Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.857944'), Decimal('57.640937'))"
Zemstvo council,architecture,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Provincial Treasury Chamber,architecture,Perm,Permian,"(Decimal('55.272576'), Decimal('59.079399'))"
provincial shelter,architecture,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Gubstrahkassa,architecture,Ivanovo region,Ivanovo,"(Decimal('40.973921'), Decimal('57.000348'))"
