Conan Exiles,50408,"8 May, 2018","Survival, Open World, Building, Nudity, Crafting, Open World Survival Craft, Multiplayer, RPG, Sandbox, Massively Multiplayer, Action, Adventure, Online Co-Op, Exploration, Violent, Co-op, Singleplayer, Fantasy, PvP, Gore"
Potion Craft: Alchemist Simulator,4346,"21 Sep, 2021","Early Access, Singleplayer, Crafting, Simulation, Relaxing, RPG, Medieval, Life Sim, Indie, Management, 2D, Hand-drawn, Sandbox, Farming Sim, Choices Matter, Casual, Point & Click, Historical, Resource Management, Investigation"
SCUM,52891,"29 Aug, 2018","Survival, Open World Survival Craft, Multiplayer, Open World, Zombies, Massively Multiplayer, Action, Early Access, Adventure, Crafting, Realistic, Nudity, FPS, Violent, Singleplayer, PvP, Third Person, Indie, Gore, RPG"
Will To Live Online,10589,"5 Apr, 2018","Survival, Multiplayer, Open World, Free to Play, Post-apocalyptic, Open World Survival Craft, Massively Multiplayer, FPS, Action, MMORPG, First-Person, Crafting, Shooter, RPG, Early Access, Exploration, Gore, Violent, Atmospheric, Indie"
ASTRONEER,70405,"5 Feb, 2019","Open World Survival Craft, Open World, Multiplayer, Space, Survival, Exploration, Base Building, Sandbox, Co-op, Adventure, Building, Crafting, Sci-fi, Third Person, Simulation, Colorful, Singleplayer, Automation, Atmospheric, Indie"
No Man's Sky,168707,"12 Aug, 2016","Open World, Open World Survival Craft, Space, Exploration, Sci-fi, Survival, Procedural Generation, Adventure, First-Person, Sandbox, Singleplayer, Atmospheric, Multiplayer, Crafting, Space Sim, Indie, Action, Simulation, FPS, Great Soundtrack"
Scrap Mechanic,70593,"19 Jan, 2016","Building, Survival, Sandbox, Open World, Crafting, Multiplayer, Physics, Base Building, Co-op, Singleplayer, First-Person, Third Person, Adventure, Funny, Early Access, Simulation, Action, Indie, Moddable, Online Co-Op"
ICARUS,,"4 Dec, 2021","Open World Survival Craft, Survival, Online Co-Op, Crafting, Exploration, Base Building, Multiplayer, Building, First-Person, PvE, Co-op, Open World, Realistic, Space, Mining, Third Person, Sandbox, Adventure, Nature, Science"
Graveyard Keeper,18957,"15 Aug, 2018","Pixel Graphics, Crafting, RPG, Simulation, Sandbox, Indie, Management, Medieval, Singleplayer, Adventure, Building, Dark Humor, Agriculture, 2D, Story Rich, Fantasy, Dark, Gore, Mystery, Violent"
Green Hell,29439,"5 Sep, 2019","Survival, Open World Survival Craft, Open World, Online Co-Op, Crafting, Simulation, Singleplayer, Base Building, Survival Horror, Realistic, Sandbox, Exploration, First-Person, Building, Adventure, Atmospheric, Action-Adventure, Resource Management, Immersive Sim, Indie"
Breathedge,9536,"25 Feb, 2021","Open World Survival Craft, Space, Survival, Indie, Singleplayer, Sandbox, Base Building, Sci-fi, Atmospheric, First-Person, Adventure, Crafting, Open World, Exploration, Early Access, Action, Aliens, Simulation, Action-Adventure, Multiplayer"
Albion Online,41086,"16 May, 2018","Free to Play, MMORPG, Open World, Massively Multiplayer, RPG, Sandbox, Crafting, Multiplayer, PvP, Survival, PvE, Medieval, Loot, Economy, Fantasy, Co-op, Strategy, Action, Singleplayer, Difficult"
Kenshi,41839,"6 Dec, 2018","Open World, Sandbox, RPG, Survival, Strategy, Building, Post-apocalyptic, Crafting, Singleplayer, Base Building, City Builder, Indie, Simulation, Management, Adventure, RTS, Ninja, Alternate History, Steampunk, Character Customization"
God of War,,"14 Jan, 2022","Action, Adventure, Story Rich, Mythology, Singleplayer, Combat, RPG, Third Person, Violent, Atmospheric, Emotional, Exploration, Fantasy, Gore, Action RPG, 3D, Hack and Slash, Souls-like, PvE, Crafting"
Shop Titans,10179,"5 May, 2020","Free to Play, Simulation, RPG, Adventure, Casual, Management, Base Building, Crafting, Multiplayer, Economy, Singleplayer, Medieval, Fantasy, Relaxing, Addictive, Cute, Family Friendly, Colorful, Fighting, Beautiful"
Space Engineers,78690,"28 Feb, 2019","Space, Sandbox, Building, Multiplayer, Open World Survival Craft, Simulation, Survival, Open World, Physics, Crafting, Destruction, Co-op, Indie, Futuristic, Sci-fi, Singleplayer, Action, Strategy, Adventure, Early Access"
Subnautica: Below Zero,51240,"13 May, 2021","Open World Survival Craft, Survival, Underwater, Open World, Singleplayer, Exploration, Adventure, Base Building, Horror, Crafting, First-Person, Aliens, Survival Horror, Early Access, Sci-fi, Story Rich, Atmospheric, Great Soundtrack, Sandbox, Indie"
Subnautica,162814,"23 Jan, 2018","Open World Survival Craft, Survival, Open World, Exploration, Underwater, Crafting, Horror, Base Building, Singleplayer, Adventure, First-Person, Sci-fi, Sandbox, Aliens, Atmospheric, Survival Horror, Action, Multiplayer, Early Access, Indie"
ARK: Genesis Season Pass,4352,"8 Aug, 2019","Adventure, Massively Multiplayer, Survival, Action, RPG, Open World, Indie, Dinosaurs, Multiplayer, Crafting, Base Building, Violent, Sandbox, Singleplayer, Building, Open World Survival Craft, Sci-fi, Dragons, Co-op, First-Person"
Stranded Deep,30011,"23 Jan, 2015","Open World Survival Craft, Survival, Multiplayer, Open World, Crafting, First-Person, Adventure, Exploration, Realistic, Singleplayer, Building, Sandbox, Simulation, Co-op, Early Access, Underwater, Action, Atmospheric, Indie, Strategy"
Noita,34148,"15 Oct, 2020","Physics, Difficult, Roguelike, Dungeon Crawler, Indie, Action, Open World, Action Roguelike, Perma Death, Sandbox, Roguelite, 2D, RPG, Pixel Graphics, 2D Platformer, Gun Customization, Action-Adventure, Dark Humor, Mythology, Crafting"
Stormworks: Build and Rescue,19668,"17 Sep, 2020","Sandbox, Flight, Open World, Building, Programming, Exploration, Sailing, Open World Survival Craft, Immersive Sim, Base Building, Survival, PvP, Tutorial, Character Customization, First-Person, Naval, Physics, Automation, Trains, Crafting"
The Long Dark,72921,"1 Aug, 2017","Survival, Open World Survival Craft, Open World, Exploration, Atmospheric, First-Person, Singleplayer, Adventure, Crafting, Sandbox, Simulation, Post-apocalyptic, Indie, Walking Simulator, Survival Horror, Strategy, Difficult, Action, Early Access, Horror"
Foxhole,17575,"27 Jul, 2017","Early Access, Massively Multiplayer, Base Building, Wargame, World War II, Sandbox, Military, Open World, War, PvP, Top-Down, Tactical, Team-Based, Multiplayer, Crafting, Top-Down Shooter, Strategy, Co-op, Shooter, Action"
Don't Starve,76216,,"Survival, Open World Survival Craft, Crafting, Adventure, Indie, Sandbox, Singleplayer, Perma Death, Open World, Exploration, Multiplayer, Roguelike, Replay Value, Moddable, Difficult, Simulation, 2D, Top-Down, Survival Horror, Horror"
Deadside,18728,"14 Apr, 2020","Survival, Open World, Multiplayer, Massively Multiplayer, Open World Survival Craft, Action, Adventure, Base Building, Crafting, Post-apocalyptic, Shooter, Early Access, Indie, PvP, Realistic, FPS, Singleplayer, Violent, Gore, First-Person"
EVERSPACE� 2,3135,"18 Jan, 2021","Early Access, Space, Flight, Looter Shooter, RPG, Space Sim, Open World, Third Person, Shooter, Sci-fi, First-Person, Exploration, Action, Action RPG, Loot, Fast-Paced, Singleplayer, 6DOF, Inventory Management, Crafting"
X4: Foundations,9866,"30 Nov, 2018","Space, Simulation, Sandbox, Action, Sci-fi, Open World, Space Sim, Economy, Exploration, Singleplayer, Strategy, Flight, Trading, Building, Management, Crafting, Immersive Sim, First-Person, Lore-Rich, Multiplayer"
Going Medieval,6874,"1 Jun, 2021","Early Access, City Builder, Medieval, Strategy, Colony Sim, Simulation, Building, Survival, Base Building, Crafting, Management, RPG, Sandbox, Open World, RTS, 3D, Stylized, Resource Management, Procedural Generation, Singleplayer"
This Land Is My Land,2114,"20 Oct, 2021","Open World Survival Craft, Survival, Open World, RPG, Simulation, Multiplayer, Crafting, Action, Western, Indie, Third Person, Violent, Stealth, Sandbox, Singleplayer, Early Access, Historical, America, First-Person, FPS"
Tribes of Midgard,8264,"27 Jul, 2021","Action, Roguelike, Co-op, Tower Defense, Multiplayer, Online Co-Op, Survival, Adventure, Roguelite, Indie, Crafting, RPG, Vikings, Open World, Action Roguelike, Procedural Generation, Hack and Slash, Action RPG, Isometric, Singleplayer"
Chernobylite,5690,"28 Jul, 2021","RPG, Horror, Survival, Post-apocalyptic, Adventure, Atmospheric, Exploration, Survival Horror, Simulation, Singleplayer, First-Person, Sci-fi, Base Building, Stealth, Action-Adventure, Crafting, Realistic, Nonlinear, Supernatural, Indie"
Starbound,76116,"22 Jul, 2016","Open World Survival Craft, Sandbox, Survival, Adventure, Space, Crafting, Online Co-Op, Pixel Graphics, Multiplayer, Relaxing, Open World, Exploration, Indie, 2D, Action, Co-op, Building, RPG, Atmospheric, Sci-fi"
Starsand,66,"4 Nov, 2021","Open World Survival Craft, Survival, Open World, Realistic, 3D, First-Person, Exploration, Crafting, Base Building, Inventory Management, Resource Management, Sci-fi, Atmospheric, Story Rich, Mystery, Sandbox, Singleplayer, Aliens, Building, Early Access"
This War of Mine,61706,"14 Nov, 2014","Survival, War, Atmospheric, Singleplayer, Strategy, Simulation, Choices Matter, Crafting, Base Building, Story Rich, Resource Management, Indie, Management, Emotional, Realistic, Post-apocalyptic, Drama, Psychological, Stealth, 2.5D"
Dead Space� 3,4606,"18 Jun, 2020","Action, Horror, Online Co-Op, Sci-fi, Survival, Shooter, Co-op, Third-Person Shooter, Dark, Space, Singleplayer, Futuristic, Thriller, Survival Horror, Multiplayer, Third Person, Gore, Combat, Crafting, Violent"
Hobo: Tough Life,3888,"12 Apr, 2021","Survival, Open World, RPG, Base Building, Multiplayer, Story Rich, First-Person, Crafting, Sandbox, Realistic, Co-op, Simulation, 3D, Conversation, Adventure, Online Co-Op, Action, Atmospheric, Interactive Fiction, Heist"
Unturned,454603,"7 Jul, 2017","Free to Play, Survival, Zombies, Open World Survival Craft, Multiplayer, Open World, Adventure, Crafting, Action, First-Person, Co-op, Sandbox, Shooter, Post-apocalyptic, FPS, Singleplayer, Massively Multiplayer, Indie, Casual, Atmospheric"
Junkyard Simulator,501,"13 Oct, 2021","Simulation, Sandbox, Open World, Realistic, Driving, Automobile Sim, Physics, Economy, Early Access, Management, First-Person, Exploration, Strategy, Building, Indie, Crafting, Singleplayer, Funny, Resource Management, Villain Protagonist"
ARK: Scorched Earth - Expansion Pack,4090,"1 Sep, 2016","Survival, Adventure, Dinosaurs, Open World, Massively Multiplayer, Action, Dragons, Crafting, RPG, Multiplayer, Base Building, First-Person, Indie, Building, Action-Adventure, Singleplayer, Strategy, Sandbox, Survival Horror, FPS"
ARK: Aberration - Expansion Pack,2897,"12 Dec, 2017","Adventure, Survival, Action, Massively Multiplayer, Dinosaurs, Open World, Exploration, RPG, Indie, Building, Crafting, Multiplayer, Fantasy, Singleplayer, Base Building, Free to Play, Co-op, Sandbox, PvE, PvP"
Far Cry� 4,34883,Nov 2014,"Open World, Action, FPS, Co-op, Adventure, Shooter, First-Person, Multiplayer, Singleplayer, Hunting, Stealth, Atmospheric, Survival, Online Co-Op, Story Rich, Exploration, Crafting, Sandbox, RPG, Action RPG"
The Escapists 2,16420,"21 Aug, 2017","Multiplayer, Strategy, Pixel Graphics, Online Co-Op, Co-op, 2D, Crafting, Simulation, Singleplayer, Indie, Local Co-Op, Sandbox, Stealth, Character Customization, Funny, Puzzle, Action, Difficult, Split Screen, Open World"
We Happy Few,7466,"10 Aug, 2018","Adventure, Action, Open World, Survival, Dystopian , Indie, Psychological Horror, First-Person, Horror, Singleplayer, Atmospheric, Stealth, Exploration, Dark, Crafting, Survival Horror, Mature, Procedural Generation, Early Access, Story Rich"
Craft The World,10646,"24 Nov, 2014","Sandbox, Crafting, Colony Sim, Building, Survival, Strategy, Indie, Simulation, 2D, Multiplayer, RPG, Open World, Singleplayer, City Builder, Resource Management, Fantasy, Adventure, God Game, Tower Defense, Side Scroller"
Atelier Ryza 2: Lost Legends & the Secret Fairy,1296,"25 Jan, 2021","JRPG, Female Protagonist, RPG, Anime, Fantasy, Adventure, Singleplayer, Sexual Content, Crafting, Open World, Cute, Mature, Action, Simulation, Story Rich, Casual, Nudity"
Rust - Sunburn Pack,807,"9 Jul, 2020","Action, Massively Multiplayer, Adventure, RPG, Indie, Survival, Crafting"
The Wild Eight,5338,"3 Oct, 2019","Survival, Open World Survival Craft, Multiplayer, Open World, Adventure, Co-op, Crafting, Online Co-Op, Sandbox, Indie, Action, RPG, Singleplayer, Atmospheric, Simulation, Survival Horror, Difficult, Strategy, Horror, Early Access"
Far Cry 3,69852,,"Open World, FPS, Action, Adventure, Multiplayer, Shooter, Stealth, First-Person, Co-op, Hunting, Singleplayer, Sandbox, Survival, Story Rich, Online Co-Op, Atmospheric, Nudity, Crafting, Colorful, RPG"
ARK: Extinction - Expansion Pack,2291,"6 Nov, 2018","Adventure, Action, Massively Multiplayer, Survival, RPG, Indie, Dinosaurs, Open World, Singleplayer, Multiplayer, Crafting, Sandbox, Building, Base Building, Co-op, Sci-fi"
Darkwood,9594,"17 Aug, 2017","Horror, Survival, Survival Horror, Top-Down, Atmospheric, Dark, Open World, Indie, RPG, Lovecraftian, Singleplayer, Exploration, Adventure, Crafting, Action, Inventory Management, Gore, Building, Psychological Horror, Roguelike"
PixARK,7075,"31 May, 2019","Survival, Adventure, Massively Multiplayer, Open World, Sandbox, Multiplayer, Action, Dinosaurs, RPG, Casual, Strategy, Pixel Graphics, Crafting, Building, Voxel, Early Access, Base Building, Magic, FPS, Singleplayer"
Volcanoids,3348,"29 Jan, 2019","Early Access, Open World Survival Craft, Base Building, Survival, Steampunk, Sci-fi, Management, Robots, Crafting, Underground, Building, Mining, Open World, Tutorial, First-Person, Simulation, Shooter, Co-op, Action, Adventure"
Survarium,24691,"2 Apr, 2015","Free to Play, Survival, Multiplayer, FPS, Shooter, Post-apocalyptic, Action, Open World, First-Person, PvP, Early Access, Co-op, Zombies, Atmospheric, Massively Multiplayer, Crafting, Adventure, RPG, Exploration, Singleplayer"
Cooking Simulator,10237,"6 Jun, 2019","Simulation, Cooking, Realistic, Singleplayer, Sandbox, Funny, Physics, First-Person, Family Friendly, Management, Relaxing, Crafting, Resource Management, Comedy, Economy, Replay Value, Action, Memes, Female Protagonist, Sexual Content"
Trove,83561,"9 Jul, 2015","Free to Play, Open World, Multiplayer, Adventure, MMORPG, Massively Multiplayer, Building, Sandbox, Pixel Graphics, RPG, Action, Crafting, Third Person, Co-op, Exploration, Dungeon Crawler, Voxel, Casual, Funny, FPS"
Atelier Ryza: Ever Darkness & the Secret Hideout,4647,"28 Oct, 2019","RPG, Anime, JRPG, Female Protagonist, Cute, Sexual Content, Singleplayer, Crafting, Great Soundtrack, Adventure, Fantasy, Turn-Based, Open World, Nudity, Turn-Based Combat, Action, Story Rich"
Siege Survival: Gloria Victis,657,"18 May, 2021","Singleplayer, Strategy, Survival, Immersive Sim, Resource Management, City Builder, Medieval, Isometric, Crafting, Economy, Time Management, War, Management, Stealth, Base Building, Strategy RPG, RPG, Historical, Choices Matter, Simulation"
DESOLATE,5603,"17 Jan, 2019","Survival, Open World, Horror, Zombies, First-Person, Adventure, Action, Gore, Singleplayer, Atmospheric, Stealth, Early Access, Mature, Survival Horror, Strategy, Sandbox, Crafting, Third Person, Psychological Horror, Difficult"
Eternal Return,35861,"14 Oct, 2020","Free to Play, Anime, MOBA, Multiplayer, Survival, PvP, Top-Down, Strategy, Crafting, Combat, Tactical, Action, 3D, Indie, Character Customization, Experimental, Early Access, Point & Click, MMORPG, Horror"
Empyrion - Galactic Survival,22435,"5 Aug, 2020","Exploration, Open World, Open World Survival Craft, Space, Sandbox, Crafting, Survival, Third Person, Building, PvP, Sci-fi, PvE, First-Person, Aliens, Strategy, Multiplayer, Online Co-Op, Singleplayer, Action, Adventure"
BIOMUTANT,9738,"25 May, 2021","Open World, Action, RPG, Singleplayer, Adventure, Post-apocalyptic, Third Person, Character Customization, Hack and Slash, Fantasy, Atmospheric, Exploration, Action RPG, Martial Arts, Multiplayer, Cute, Sci-fi, Story Rich, Indie, Crafting"
Eco,6813,"6 Feb, 2018","Open World Survival Craft, Survival, Multiplayer, Building, Open World, Crafting, Sandbox, Simulation, Co-op, Adventure, Economy, Indie, Base Building, Exploration, Online Co-Op, Early Access, Realistic, Education, First-Person, Singleplayer"
Spiritfarer�,12170,"18 Aug, 2020","Emotional, Indie, Building, Story Rich, Management, Adventure, Hand-drawn, Platformer, Female Protagonist, Local Co-Op, Exploration, Atmospheric, Relaxing, Co-op, Crafting, Funny, Simulation, Cartoony, Farming Sim, Fishing"
Dice Legacy,522,"9 Sep, 2021","City Builder, Survival, Strategy, Roguelike, Real-Time, RTS, Board Game, Indie, Colony Sim, Roguelite, Management, Colorful, Atmospheric, Resource Management, Procedural Generation, Base Building, Medieval, Building, Crafting, Exploration"
Craftopia,11572,"4 Sep, 2020","Open World, Crafting, Survival, Multiplayer, Sandbox, RPG, Open World Survival Craft, Building, Action, Early Access, Adventure, Online Co-Op, Co-op, Indie, Anime, Hack and Slash, Automation, Character Customization, Singleplayer, Third Person"
Drug Dealer Simulator,9252,"16 Apr, 2020","Simulation, Action, Indie, Crime, Adventure, Singleplayer, Resource Management, Trading, Crafting, First-Person, Open World, Management, Realistic, Strategy, Sandbox, Inventory Management, Funny, Multiplayer, Dark Comedy, Atmospheric"
Portal Knights,14548,"18 May, 2017","Adventure, Sandbox, Multiplayer, RPG, Building, Crafting, Survival, Co-op, Action, Exploration, Singleplayer, Fantasy, Early Access, Voxel, Casual, Cute, Dungeon Crawler, Third Person, Great Soundtrack, Local Co-Op"
My Time At Portia,26444,"15 Jan, 2019","RPG, Life Sim, Open World, Farming Sim, Simulation, Crafting, Casual, Adventure, Singleplayer, Agriculture, Building, Indie, Sandbox, Mining, Relaxing, Exploration, Survival, Cartoony, Post-apocalyptic, Female Protagonist"
Cultist Simulator,4977,"31 May, 2018","Management, Roguelite, Horror, Card Game, Difficult, Story Rich, Tabletop, CRPG, Board Game, Strategy RPG, Atmospheric, Roguelike, RPG, Text-Based, Lovecraftian, 2D, Crafting, Psychological Horror, Dark Humor, Multiple Endings"
TerraTech,12474,"10 Aug, 2018","Building, Sandbox, Open World, Open World Survival Craft, Multiplayer, Robots, Crafting, Action, Survival, Adventure, Singleplayer, Exploration, Strategy, Early Access, Indie, Physics, Shooter, Third Person, Co-op, Sci-fi"
Anarchy: Wolf's law,39,"5 Nov, 2021","Early Access, Open World, Action, Survival, Zombies, Heist, Looter Shooter, PvE, PvP, Shooter, Crafting, Strategy, First-Person, Tactical, FPS, Singleplayer, Atmospheric, Asynchronous Multiplayer, Arcade, Post-apocalyptic"
Poly Bridge 2,3670,"28 May, 2020","Building, Simulation, Puzzle, Crafting, Physics, Difficult, Sandbox, Indie, Great Soundtrack, Level Editor, Singleplayer, Education, Strategy, Family Friendly, Funny, Cartoony, Cute, Stylized, Choices Matter, Sequel"
InfraSpace,136,"15 Oct, 2021","Early Access, City Builder, Transportation, Automation, Space, Sandbox, Building, Economy, Management, Simulation, Robots, Science, Base Building, Crafting, Capitalism, Strategy, Mining, Survival, 3D, Stylized"
Dead Island Definitive Edition,10227,"31 May, 2016","Zombies, Survival, Co-op, Multiplayer, Open World, Action, Gore, Horror, First-Person, FPS, Online Co-Op, Crafting, Singleplayer, RPG, Survival Horror, Adventure, Nudity, Violent, Controller, Female Protagonist"
Bum Simulator,910,"26 Aug, 2021","Simulation, Adventure, Action, Survival, Open World, Funny, Sandbox, Singleplayer, First-Person, Base Building, Comedy, Realistic, Memes, Building, Crafting, Physics, Early Access, Casual, Psychological Horror"
Car Mechanic Simulator 2018,37018,"28 Jul, 2017","Simulation, Automobile Sim, Driving, Building, Realistic, Racing, Singleplayer, First-Person, Multiplayer, Sandbox, Crafting, Education, Open World, Moddable, Physics, Management, Strategy, Great Soundtrack, Co-op, Memes"
Terminator: Resistance,6666,"14 Nov, 2019","FPS, Post-apocalyptic, Choices Matter, RPG, Open World, First-Person, Sci-fi, Multiple Endings, Story Rich, Robots, Action, Atmospheric, Singleplayer, Crafting, Futuristic, Adventure, Violent, Shooter, Great Soundtrack, Cinematic"
Lords and Villeins,98,"30 Sep, 2021","Colony Sim, Strategy, City Builder, Management, Simulation, Medieval, Building, 2D, Early Access, Indie, Sandbox, Open World, Top-Down, Atmospheric, Economy, Funny, Crafting, Resource Management, Singleplayer, Replay Value"
DRAGON QUEST� XI S: Echoes of an Elusive Age� - Definitive Edition,3418,"4 Dec, 2020","JRPG, RPG, Turn-Based Combat, Party-Based RPG, Story Rich, Dragons, Funny, 3D, Adventure, 2D, Fantasy, Colorful, Singleplayer, Action, Third Person, Crafting, Anime, Character Customization, Open World, Cartoony"
Fallout Shelter,46426,"29 Mar, 2017","Free to Play, Base Building, Survival, Post-apocalyptic, Singleplayer, Simulation, Management, Strategy, 2D, Building, Casual, Crafting, Adventure, Sandbox, RPG, Multiplayer, Funny, Atmospheric, Action, Great Soundtrack"
Hydroneer,7491,"8 May, 2020","Simulation, Mining, Building, Sandbox, Indie, Casual, Base Building, Adventure, Open World, Singleplayer, Automation, Resource Management, Strategy, Crafting, Multiplayer, First-Person, Online Co-Op, Exploration, Funny, Co-op"
Mist Legacy,459,"5 Oct, 2021","Early Access, RPG, MMORPG, Fantasy, Crafting, Open World, Character Customization, Turn-Based Combat, Base Building, Inventory Management, Resource Management, PvP, PvE, Story Rich, Top-Down, Massively Multiplayer, Stylized, Multiplayer, CRPG, Tactical RPG"
Liftoff: FPV Drone Racing,4508,"13 Sep, 2018","Simulation, Racing, Flight, Sports, Realistic, First-Person, Multiplayer, Indie, Immersive Sim, Early Access, Crafting, Level Editor, Singleplayer, Atmospheric, Exploration, Education, 3D, Modern, Parkour, Science"
Mr. Prepper,2562,"18 Mar, 2021","Survival, Simulation, Resource Management, Crafting, Singleplayer, Life Sim, Time Management, Base Building, 2.5D, Farming Sim, 1990's, Alternate History, Underground, Dystopian , America, Point & Click, Adventure, Political, Cold War, Action"
Ancestors: The Humankind Odyssey,3892,"27 Aug, 2020","Open World Survival Craft, Exploration, Open World, Survival, Adventure, Singleplayer, Crafting, Action, RPG, Simulation, Atmospheric, Third Person, Immersive Sim, Indie, Choices Matter, Action-Adventure, Nature, Historical, Science, PvE"
SPORE� Galactic Adventures,4489,"26 Jun, 2009","Simulation, Action, Space, Adventure, Exploration, Open World, Sandbox, Singleplayer, Strategy, Sci-fi, God Game, Multiplayer, Funny, RPG, Comedy, Crafting, Atmospheric, Level Editor, Character Customization, Casual"
